rank,slack_ns,required_time_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,route_ratio,logic_levels,startpoint,endpoint,path_class,main_cells
66,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_57_59/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
67,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_60_62/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
68,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_6_8/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
69,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r1_0_63_9_11/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=1"
70,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_0_2/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
71,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_12_14/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
72,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_15_17/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
73,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_18_20/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
74,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_21_23/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
75,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_24_26/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
76,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_27_29/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
77,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_30_32/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
78,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_33_35/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
79,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_36_38/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
80,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_39_41/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
81,-0.042,5.000,4.688,1.190,3.498,0.746,6,"uop_p3_q_reg[op_type][2]/C","i_vrf/vrf_b1_reg_r2_0_63_3_5/RAMB/I","VRF/read/writeback","FDCE=1;LUT4=1;LUT5=2;LUT6=2;RAMD64E=2"
