pattern,object_name,object_type,ref_name,hierarchy,fanout,driver,load_cells,load_lanes,cross_multiple_lanes
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_20",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_22",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_23",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_24",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_25",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_26",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_27",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_28",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_4",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_5",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_6",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_7",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[1]_i_9",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_10",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_11",cell,"LUT6","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_3",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_4",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_5",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_6",cell,"LUT3","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_7",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_8",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
"i_p2_pop_slice","gen_lane[3].i_p2_pop_slice/i_popcount/popcount_q_o[3]_i_9",cell,"LUT5","gen_lane[3].i_p2_pop_slice/i_popcount",0,,0,,0
