claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X43Y26/B","SLICE_X43Y26","B","1","shared","shared_only","0","i_vec/i_vrf_i_348"
"route_physical_ecc_private_lower_bound","SLICE_X43Y27/A","SLICE_X43Y27","A","1","shared","shared_only","0","i_vec/i_vrf_i_292"
"route_physical_ecc_private_lower_bound","SLICE_X43Y28/B","SLICE_X43Y28","B","1","shared","shared_only","0","i_vec/payload_q[3][12]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X43Y28/C","SLICE_X43Y28","C","1","shared","shared_only","0","i_vec/payload_q[3][12]_i_3"
"route_physical_ecc_private_lower_bound","SLICE_X43Y28/D","SLICE_X43Y28","D","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][12]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y29/A","SLICE_X43Y29","A","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][46]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X43Y29/B","SLICE_X43Y29","B","1","shared","shared_only","0","i_vec/payload_q[3][46]_i_5"
"route_physical_ecc_private_lower_bound","SLICE_X43Y29/C","SLICE_X43Y29","C","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][46]_i_1"
"route_physical_ecc_private_lower_bound","SLICE_X43Y29/D","SLICE_X43Y29","D","1","shared","shared_only","0","i_vec/i_vrf_i_551"
"route_physical_ecc_private_lower_bound","SLICE_X43Y30/A","SLICE_X43Y30","A","2","shared","shared_only","0","i_vec/ecc_leaf_prod_q[6]_i_2;i_vec/i_vrf_i_658"
"route_physical_ecc_private_lower_bound","SLICE_X43Y31/A","SLICE_X43Y31","A","1","shared","shared_only","0","i_vec/i_gf2_contribution_row_tile/payload_q[3][39]_i_1"
